axis,start_s,end_s,stage,method,lag_ms,correlation,input_std_deg_s
Roll,3,7,inner,bandpassed_level,-0.4912771595576989,0.9568473517004559,15.082891070254625
Roll,3,7,inner,bandpassed_derivative,5.059192870497503,0.6503784937447645,15.082891070254625
Roll,3,7,smoothing,bandpassed_level,16.255779808013607,0.9997348028598522,15.082891070254625
Roll,3,7,smoothing,bandpassed_derivative,16.30377293096952,0.9950215645154912,15.082891070254625
Roll,3,7,rc_to_gyro,bandpassed_level,15.917279512288246,0.9579446184417657,15.082891070254625
Roll,3,7,rc_to_gyro,bandpassed_derivative,22.85865383881375,0.6522750027301726,15.082891070254625
Roll,4,8,inner,bandpassed_level,2.8327434415689283,0.9979083363143081,17.601999768580484
Roll,4,8,inner,bandpassed_derivative,9.796954098250154,0.9486103874972892,17.601999768580484
Roll,4,8,smoothing,bandpassed_level,16.24596341765631,0.9998377222553435,17.601999768580484
Roll,4,8,smoothing,bandpassed_derivative,15.726358439330953,0.9954342540772186,17.601999768580484
Roll,4,8,rc_to_gyro,bandpassed_level,19.249933549681742,0.9979519348911405,17.601999768580484
Roll,4,8,rc_to_gyro,bandpassed_derivative,25.90611297537656,0.9471992281303261,17.601999768580484
Roll,5,9,inner,bandpassed_level,4.2283559252556255,0.9981245568647374,16.69701218772634
Roll,5,9,inner,bandpassed_derivative,13.042654941357103,0.9403450233334909,16.69701218772634
Roll,5,9,smoothing,bandpassed_level,16.309444339655347,0.9998376107499908,16.69701218772634
Roll,5,9,smoothing,bandpassed_derivative,15.699963119817747,0.9910716691421673,16.69701218772634
Roll,5,9,rc_to_gyro,bandpassed_level,20.869311407754065,0.9981863034446349,16.69701218772634
Roll,5,9,rc_to_gyro,bandpassed_derivative,28.907182822049116,0.9420065141525955,16.69701218772634
Roll,6,10,inner,bandpassed_level,4.669782188272591,0.9979860730841916,20.798616600814487
Roll,6,10,inner,bandpassed_derivative,13.309829592016472,0.9303557582157163,20.798616600814487
Roll,6,10,smoothing,bandpassed_level,16.18720570068042,0.9998327581928477,20.798616600814487
Roll,6,10,smoothing,bandpassed_derivative,15.65510327846694,0.9905128322089914,20.798616600814487
Roll,6,10,rc_to_gyro,bandpassed_level,21.199111003349046,0.9981311322243203,20.798616600814487
Roll,6,10,rc_to_gyro,bandpassed_derivative,28.962509970132764,0.9330025291516966,20.798616600814487
Roll,7,11,inner,bandpassed_level,4.64536950272822,0.9986614264246566,19.834956027974158
Roll,7,11,inner,bandpassed_derivative,13.315654014523519,0.9591866410223755,19.834956027974158
Roll,7,11,smoothing,bandpassed_level,16.231546114270078,0.999877917056616,19.834956027974158
Roll,7,11,smoothing,bandpassed_derivative,15.625264389552648,0.9917230764390165,19.834956027974158
Roll,7,11,rc_to_gyro,bandpassed_level,21.246531314525935,0.998670622747902,19.834956027974158
Roll,7,11,rc_to_gyro,bandpassed_derivative,28.899801890627334,0.9610310237669839,19.834956027974158
Roll,8,12,inner,bandpassed_level,5.6810174276143846,0.9982906871681984,16.514672709594215
Roll,8,12,inner,bandpassed_derivative,11.753857220040349,0.9257714995900593,16.514672709594215
Roll,8,12,smoothing,bandpassed_level,16.356990040389867,0.9998305821628948,16.514672709594215
Roll,8,12,smoothing,bandpassed_derivative,15.959222515527626,0.9850857992176718,16.514672709594215
Roll,8,12,rc_to_gyro,bandpassed_level,22.373714415389482,0.998487089691305,16.514672709594215
Roll,8,12,rc_to_gyro,bandpassed_derivative,27.798059349306943,0.9422106315296946,16.514672709594215
Roll,9,13,inner,bandpassed_level,4.567023912875924,0.9979210975199594,14.949790285390476
Roll,9,13,inner,bandpassed_derivative,11.45243923822953,0.944246135952344,14.949790285390476
Roll,9,13,smoothing,bandpassed_level,16.335435139343573,0.9998409866278114,14.949790285390476
Roll,9,13,smoothing,bandpassed_derivative,15.947139646014096,0.9893809739507561,14.949790285390476
Roll,9,13,rc_to_gyro,bandpassed_level,21.222592122471173,0.9980905461031677,14.949790285390476
Roll,9,13,rc_to_gyro,bandpassed_derivative,27.63171917621694,0.9533149673223821,14.949790285390476
Roll,10,14,inner,bandpassed_level,3.5321238204344603,0.9986564477497843,19.78656280679479
Roll,10,14,inner,bandpassed_derivative,8.453281539255597,0.9853626402671416,19.78656280679479
Roll,10,14,smoothing,bandpassed_level,16.274876313393605,0.9999082154116542,19.78656280679479
Roll,10,14,smoothing,bandpassed_derivative,16.084687695615838,0.9978189313433024,19.78656280679479
Roll,10,14,rc_to_gyro,bandpassed_level,19.950224779805165,0.9988388403987879,19.78656280679479
Roll,10,14,rc_to_gyro,bandpassed_derivative,24.90394063898908,0.9875115267236849,19.78656280679479
Roll,11,15,inner,bandpassed_level,2.153940094331287,0.9988436855200346,23.46452824535023
Roll,11,15,inner,bandpassed_derivative,5.604881363685756,0.9886547054577673,23.46452824535023
Roll,11,15,smoothing,bandpassed_level,16.268937615973066,0.9999146568030209,23.46452824535023
Roll,11,15,smoothing,bandpassed_derivative,16.060487535193047,0.9983165795416129,23.46452824535023
Roll,11,15,rc_to_gyro,bandpassed_level,18.533616259480496,0.9988891899914594,23.46452824535023
Roll,11,15,rc_to_gyro,bandpassed_derivative,22.09221698907877,0.9889303338284966,23.46452824535023
