t,epoch,msl_m,diagnostic_after_fix_receive_s
0.256153856,0.0,57.45,0.08800872200000001
1.257942528,0.0,57.16,0.08708138800000001
2.257689344,0.0,57.0,0.085078148
3.2573642240000003,0.0,56.85,0.084122204
4.259123456,0.0,56.72,0.083058667
5.258814464,0.0,56.65,0.08202677700000001
6.256422144,0.0,56.87,0.080045315
7.258030592000001,0.0,57.2,0.07903876
8.357602048,0.0,57.79,0.078109759
9.357188608000001,0.0,59.42,0.07871283300000001
10.356839424,0.0,63.97,0.075026407
11.356262144,0.0,65.54,0.07405376000000001
12.357807872,0.0,65.76,0.07301626
13.359331584000001,0.0,65.34,0.072049074
14.358814720000002,0.0,64.34,0.071042593
15.356460544,0.0,64.17,0.069962574
16.359877376,0.0,63.94,0.069184334
17.359271424000003,0.0,63.12,0.066975852
18.358774016,0.0,61.97,0.066034852
19.35815552,0.0,61.5,0.065066704
20.357547776,0.0,61.83,0.06402463
21.358947584000003,0.0,62.0,0.062103111
22.358294528000002,0.0,62.2,0.061151722000000006
23.357555968,0.0,62.38,0.06013720400000001
24.35898624,0.0,62.5,0.059052408
25.356886272,0.0,62.78,0.058063518
26.358481152000003,0.0,62.88,0.057059500000000006
27.35801216,0.0,62.91,0.055062518000000005
28.359388416,0.0,62.59,0.054081963000000004
29.358696704000003,0.0,62.42,0.053126370000000006
30.358169600000004,0.0,62.82,0.051161797
31.357556480000003,0.0,63.07,0.050889796
32.359045888000004,0.0,62.84,0.049012055000000006
33.356435968,0.0,61.71,0.048028075
34.357971968,0.0,61.01,0.046026371
35.357602560000004,0.0,60.62,0.046846759
36.357267456,0.0,60.63,0.044374500000000004
37.358941952,0.0,60.84,0.043307926000000004
38.358599680000005,0.0,61.28,0.041039
39.360140544000004,0.0,61.45,0.041030093000000004
40.359568128,0.0,60.76,0.039042463
41.358874112,0.0,60.07,0.037779908
42.360857737,1.0,59.97,0.028082167
43.359969161,1.0,59.7,0.028207000000000003
44.357432201,1.0,59.05,0.026109889
45.359059081000005,1.0,58.83,0.025126482000000002
46.358515849,1.0,58.91,0.023055777000000003
47.358040457,1.0,58.96,0.022096574
48.357486729,1.0,59.18,0.021369408000000003
49.358959497,1.0,58.86,0.020337611000000002
50.358528905,1.0,58.41,0.019112185
51.357993353000005,1.0,58.19,0.017210296
52.359415689,1.0,57.38,0.016094648
53.358857097000005,1.0,56.73,0.015020334000000002
54.356325769,1.0,56.59,0.013178055000000001
55.357848201,1.0,56.19,0.012158722
56.359457929,1.0,56.26,0.011416426
57.358965641000005,1.0,56.42,0.010019
58.356336777,1.0,56.6,0.008786740000000001
59.357816457000006,1.0,56.39,0.008056574
60.357336457,1.0,56.66,0.005992204
61.358817929000004,1.0,56.42,0.005004963
62.360428425,1.0,55.96,0.004160149
63.359969161,1.0,55.84,0.003098574
64.257412489,1.0,55.45,0.10006024100000001
65.256836233,1.0,54.68,0.099082926
66.25829620100001,1.0,54.54,0.097076334
67.25978996100001,1.0,54.41,0.096117111
68.259241097,1.0,54.54,0.095377389
69.258699401,1.0,54.64,0.09437763
70.260397705,1.0,54.42,0.09222137000000001
71.259921289,1.0,54.58,0.091063185
72.259435401,1.0,54.37,0.090133129
73.258965641,1.0,54.14,0.089190241
74.258430089,1.0,54.72,0.08809337
75.260013449,1.0,55.48,0.08634839200000001
76.26212391300001,1.0,55.16,0.08404789
77.262403465,1.0,54.21,0.08206263500000001
78.262839177,1.0,52.18,0.07900697000000001
79.263186313,1.0,50.74,0.077162198
80.265397897,1.0,49.44,0.07510672
81.263734153,1.0,49.26,0.073301477
82.265951369,1.0,48.87,0.07117031600000001
83.364157065,1.0,48.23,0.069212471
84.364340873,1.0,48.25,0.06806486
85.366305929,1.0,48.62,0.066122445
86.368288393,1.0,48.81,0.06413737600000001
87.368219017,1.0,48.79,0.062123253
88.370237321,1.0,48.82,0.060060717000000007
89.370324361,1.0,49.04,0.059175174000000004
90.37025319300001,1.0,49.18,0.057244195000000005
