t,mode,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,ref_p_x,ref_p_y,ref_p_z,ref_v_x,ref_v_y,ref_v_z,ref_w_x,ref_w_y,ref_w_z,ref_thrust,cmd_thrust,cmd_w_x,cmd_w_y,cmd_w_z,rc_a,rc_e,rc_t,rc_r,rc_aux1,has_reference,in_trajectory,est_p_x,est_p_y,est_p_z,ahrs_tilt_err_deg,ahrs_yaw_err_deg,ahrs_acc_weight,msp_tilt_err_deg
0,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.009999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.02,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.029999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.04,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.049999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.06,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.069999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.08,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.089999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.1,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.11,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.12,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.13,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.139999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.15,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.159999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.17,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.179999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.19,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.199999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.21,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.219999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.23,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.239999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.25,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.259999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.27,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.279999999,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
0.29,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.707105483,-5.82048795e-19,-1.89855247e-20,0.70710808,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,6.30323646e-18,-9.59090498e-18,2.6155064e-18,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,-7.85868128e-19,4.01576786e-19,0.194999217,nan,nan,nan,nan
