t,mode,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,ref_p_x,ref_p_y,ref_p_z,ref_v_x,ref_v_y,ref_v_z,ref_w_x,ref_w_y,ref_w_z,ref_thrust,cmd_thrust,cmd_w_x,cmd_w_y,cmd_w_z,rc_a,rc_e,rc_t,rc_r,rc_aux1,has_reference,in_trajectory,est_p_x,est_p_y,est_p_z,ahrs_tilt_err_deg,ahrs_yaw_err_deg,ahrs_acc_weight,msp_tilt_err_deg
0,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706271854,-0.000517018003,0.00211279804,0.707937382,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00892710684,-0.00245332026,-0.00398755864,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00892710684,-0.00245332026,-0.00398755864,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.249252594,0.134985804,0.999990578,nan
0.010000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706274005,-0.000511672531,0.00208896678,0.707935311,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00129907069,0.00055576884,0.00618899497,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00129907069,0.00055576884,0.00618899497,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.246454401,0.134638289,0.999945776,nan
0.02,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706272482,-0.00049465022,0.00207184804,0.707936892,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00367638171,-0.00242044831,-0.00119188235,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00367638171,-0.00242044831,-0.00119188235,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.244089167,0.134886681,0.999944225,nan
0.030000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706266848,-0.000489766823,0.00204751476,0.707942588,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00276285484,0.00261582505,3.13947449e-05,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00276285484,0.00261582505,3.13947449e-05,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.24124707,0.135799286,0.999999956,6.67333514e-17
0.04,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706267609,-0.000480447542,0.00203091037,0.707941883,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00457793292,-0.000306699644,0.000744825296,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00457793292,-0.000306699644,0.000744825296,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.239148853,0.135677091,0.999995957,6.67333514e-17
0.050000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706268098,-0.000477705872,0.00202129461,0.707941424,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000573075346,0.00536397601,-0.00396145095,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.000573075346,0.00536397601,-0.00396145095,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.23800424,0.135598238,0.999999388,6.67333514e-17
0.06,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706268895,-0.000480843101,0.00199426174,0.707940704,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00155543984,-0.000988794678,-0.0018462438,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.00155543984,-0.000988794678,-0.0018462438,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.23507463,0.135468851,0.999957491,6.67333514e-17
0.070000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706271137,-0.000479663401,0.00198285425,0.707938499,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00531766598,-0.00306055534,0.00222931558,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,0.00531766598,-0.00306055534,0.00222931558,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.233772221,0.135106006,0.999900973,6.67333514e-17
0.08,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706267066,-0.000474670858,0.00195680658,0.707942637,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.000686104881,-0.00704096113,0.00680910401,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-0.000686104881,-0.00704096113,0.00680910401,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.230736582,0.135765533,0.99956456,6.67333514e-17
0.090000001,DISARM,-7.85868128e-19,4.01576786e-19,0.194999217,0.706264185,-0.000490677144,0.00194261889,0.707945539,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-4.90022868e-05,0.000383246389,0.00113411667,-7.85868128e-19,4.01576786e-19,0.194999217,-1.21705168e-18,-2.2869598e-18,7.65596668e-06,-4.90022868e-05,0.000383246389,0.00113411667,0,0,0,0,0,1500,1500,1000,1500,1000,0,0,0,0,0,0.229599211,0.136230136,0.999977133,6.67333514e-17
